"coefname","est_vec","se_vec","est_vec_ml_atr","se_vec_ml_atr","est_vec_rcdc","se_vec_rcdc","est_vec_rcdc_with_atr","se_vec_with_atr"
"price",0.0574460508333919,0.004,0.0621492276917924,0.01,0.164346089624115,0.014,0.196149424229857,0.03
"Kinoko",11.6514737225731,0.729,12.3984536765263,2.045,34.9959455530967,2.911,40.5452615708131,6.021
"Takenoko",12.2031093665027,0.745,12.5387534313689,2.073,36.2660249935614,3.001,41.1532098209669,6.182
"sd.price",NA,NA,NA,NA,-0.0304453840968092,0.005,0.0285086245772001,0.005
"sd.Kinoko",NA,NA,NA,NA,2.27514474441619,0.615,2.06961047735533,0.873
"sd.Takenoko",NA,NA,NA,NA,3.85959229800884,0.523,4.09282927745785,0.639
"price:genderfemale",NA,NA,0.0125452076053034,0.008,NA,NA,0.0353368682549106,0.021
"Takenoko:genderfemale",NA,NA,3.29527742338628,1.641,NA,NA,9.65249326056398,4.192
"Kinoko:genderfemale",NA,NA,3.46283058360636,1.609,NA,NA,9.85334676586814,4.131
"price:familyhouse",NA,NA,-0.0025780970913177,0.01,NA,NA,-0.0186990791605685,0.024
"Takenoko:familyhouse",NA,NA,-0.187933922460971,1.928,NA,NA,-3.41493069629908,4.706
"Kinoko:familyhouse",NA,NA,-0.566943415811566,1.904,NA,NA,-4.11545891715599,4.615
"price:adult",NA,NA,-0.017648604369651,0.008,NA,NA,-0.0491315213670626,0.02
"Takenoko:adult",NA,NA,-3.35233719643422,1.527,NA,NA,-9.49447442081076,3.883
"Kinoko:adult",NA,NA,-3.69219946280271,1.498,NA,NA,-9.98502013006814,3.808
"price:regionKansai",NA,NA,0.0152208537958016,0.016,NA,NA,-0.0016524485613421,0.036
"price:regionOversea",NA,NA,0.0122691980554355,0.018,NA,NA,-0.0162502349577237,0.038
"Takenoko:regionKansai",NA,NA,3.57517436566721,3.23,NA,NA,1.6066506666008,6.974
"Takenoko:regionOversea",NA,NA,2.59636051374369,3.52,NA,NA,-2.86723786201528,7.518
"Kinoko:regionKansai",NA,NA,3.14086055156223,3.142,NA,NA,0.795801758628546,6.748
"Kinoko:regionOversea",NA,NA,3.1903291433837,3.518,NA,NA,-1.31664951084429,7.461
